,Q_Rewards1,Q_noSteps1,Q_Accuracy1,Q_Rewards2,Q_noSteps2,Q_Accuracy2,Q_Rewards3,Q_noSteps3,Q_Accuracy3,Q_Rewards4,Q_noSteps4,Q_Accuracy4,Q_Rewards5,Q_noSteps5,Q_Accuracy5,Moving_Average_Accuracy1,Moving_Average_Step1,Moving_Average_Reward1,Moving_Average_Accuracy2,Moving_Average_Step2,Moving_Average_Reward2,Moving_Average_Accuracy3,Moving_Average_Step3,Moving_Average_Reward3,Moving_Average_Accuracy4,Moving_Average_Step4,Moving_Average_Reward4,Moving_Average_Accuracy5,Moving_Average_Step5,Moving_Average_Reward5,Overall_Accuracy,Overall_Steps,Overall_Reward
72,-1,268,0,-1,90,0,-1,89,0,-1,192,0,-1,114,0,0.0,94.27397260273973,-1.0,0.0,97.84931506849315,-1.0,0.0,105.54794520547945,-1.0,0.0,115.72602739726027,-1.0,0.0,103.8082191780822,-1.0,0.0,103.44109589041095,-1.0
73,-1,51,0,-1,39,0,-1,338,0,-1,68,0,-1,16,0,0.0,93.6891891891892,-1.0,0.0,97.05405405405405,-1.0,0.0,108.6891891891892,-1.0,0.0,115.08108108108108,-1.0,0.0,102.62162162162163,-1.0,0.0,103.42702702702702,-1.0
74,-1,221,0,-1,226,0,-1,63,0,-1,106,0,-1,67,0,0.0,95.38666666666667,-1.0,0.0,98.77333333333333,-1.0,0.0,108.08,-1.0,0.0,114.96,-1.0,0.0,102.14666666666666,-1.0,0.0,103.86933333333334,-1.0
75,-1,148,0,-1,259,0,-1,153,0,-1,203,0,-1,34,0,0.0,96.07894736842105,-1.0,0.0,100.88157894736842,-1.0,0.0,108.67105263157895,-1.0,0.0,116.11842105263158,-1.0,0.0,101.25,-1.0,0.0,104.6,-1.0
76,-1,75,0,-1,60,0,-1,96,0,-1,310,0,-1,48,0,0.0,95.8051948051948,-1.0,0.0,100.35064935064935,-1.0,0.0,108.50649350649351,-1.0,0.0,118.63636363636364,-1.0,0.0,100.55844155844156,-1.0,0.0,104.77142857142857,-1.0
77,-1,102,0,-1,63,0,-1,243,0,-1,224,0,-1,167,0,0.0,95.88461538461539,-1.0,0.0,99.87179487179488,-1.0,0.0,110.23076923076923,-1.0,0.0,119.98717948717949,-1.0,0.0,101.41025641025641,-1.0,0.0,105.4769230769231,-1.0
78,-1,196,0,-1,38,0,-1,12,0,-1,41,0,-1,135,0,0.0,97.15189873417721,-1.0,0.0,99.0886075949367,-1.0,0.0,108.9873417721519,-1.0,0.0,118.9873417721519,-1.0,0.0,101.83544303797468,-1.0,0.0,105.21012658227846,-1.0
79,-1,54,0,-1,83,0,-1,14,0,-1,89,0,-1,60,0,0.0,96.6125,-1.0,0.0,98.8875,-1.0,0.0,107.8,-1.0,0.0,118.6125,-1.0,0.0,101.3125,-1.0,0.0,104.64500000000001,-1.0
80,-1,78,0,-1,77,0,-1,12,0,-1,121,0,-1,241,0,0.0,96.38271604938272,-1.0,0.0,98.61728395061728,-1.0,0.0,106.61728395061728,-1.0,0.0,118.64197530864197,-1.0,0.0,103.03703703703704,-1.0,0.0,104.65925925925926,-1.0
81,-1,121,0,-1,60,0,-1,299,0,-1,26,0,-1,136,0,0.0,96.6829268292683,-1.0,0.0,98.14634146341463,-1.0,0.0,108.96341463414635,-1.0,0.0,117.51219512195122,-1.0,0.0,103.4390243902439,-1.0,0.0,104.94878048780488,-1.0
82,-1,126,0,-1,39,0,-1,51,0,-1,421,0,-1,441,0,0.0,97.03614457831326,-1.0,0.0,97.43373493975903,-1.0,0.0,108.26506024096386,-1.0,0.0,121.16867469879519,-1.0,0.0,107.50602409638554,-1.0,0.0,106.28192771084336,-1.0
83,-1,52,0,-1,216,0,-1,133,0,-1,21,0,-1,37,0,0.0,96.5,-1.0,0.0,98.8452380952381,-1.0,0.0,108.55952380952381,-1.0,0.0,119.97619047619048,-1.0,0.0,106.66666666666667,-1.0,0.0,106.10952380952381,-1.0
84,-1,89,0,-1,180,0,-1,149,0,-1,167,0,-1,17,0,0.0,96.41176470588235,-1.0,0.0,99.8,-1.0,0.0,109.03529411764706,-1.0,0.0,120.52941176470588,-1.0,0.0,105.61176470588235,-1.0,0.0,106.27764705882353,-1.0
85,-1,185,0,-1,156,0,-1,170,0,-1,14,0,-1,124,0,0.0,97.44186046511628,-1.0,0.0,100.45348837209302,-1.0,0.0,109.74418604651163,-1.0,0.0,119.29069767441861,-1.0,0.0,105.82558139534883,-1.0,0.0,106.55116279069766,-1.0
86,-1,173,0,-1,95,0,-1,185,0,-1,84,0,-1,143,0,0.0,98.3103448275862,-1.0,0.0,100.39080459770115,-1.0,0.0,110.60919540229885,-1.0,0.0,118.88505747126437,-1.0,0.0,106.25287356321839,-1.0,0.0,106.8896551724138,-1.0
87,-1,43,0,-1,395,0,-1,46,0,-1,89,0,-1,198,0,0.0,97.68181818181819,-1.0,0.0,103.73863636363636,-1.0,0.0,109.875,-1.0,0.0,118.54545454545455,-1.0,0.0,107.29545454545455,-1.0,0.0,107.42727272727272,-1.0
88,-1,35,0,-1,16,0,-1,26,0,-1,6,0,-1,17,0,0.0,96.97752808988764,-1.0,0.0,102.75280898876404,-1.0,0.0,108.93258426966293,-1.0,0.0,117.28089887640449,-1.0,0.0,106.28089887640449,-1.0,0.0,106.44494382022472,-1.0
89,-1,32,0,-1,60,0,-1,54,0,-1,169,0,-1,192,0,0.0,96.25555555555556,-1.0,0.0,102.27777777777777,-1.0,0.0,108.32222222222222,-1.0,0.0,117.85555555555555,-1.0,0.0,107.23333333333333,-1.0,0.0,106.38888888888889,-1.0
90,-1,15,0,-1,103,0,-1,72,0,-1,18,0,-1,79,0,0.0,95.36263736263736,-1.0,0.0,102.28571428571429,-1.0,0.0,107.92307692307692,-1.0,0.0,116.75824175824175,-1.0,0.0,106.92307692307692,-1.0,0.0,105.85054945054944,-1.0
91,-1,214,0,-1,24,0,-1,50,0,-1,165,0,-1,81,0,0.0,96.65217391304348,-1.0,0.0,101.43478260869566,-1.0,0.0,107.29347826086956,-1.0,0.0,117.28260869565217,-1.0,0.0,106.6413043478261,-1.0,0.0,105.8608695652174,-1.0
92,-1,29,0,-1,122,0,-1,36,0,-1,3,0,-1,53,0,0.0,95.9247311827957,-1.0,0.0,101.65591397849462,-1.0,0.0,106.52688172043011,-1.0,0.0,116.05376344086021,-1.0,0.0,106.06451612903226,-1.0,0.0,105.24516129032259,-1.0
93,-1,121,0,-1,111,0,-1,54,0,-1,108,0,-1,33,0,0.0,96.19148936170212,-1.0,0.0,101.75531914893617,-1.0,0.0,105.96808510638297,-1.0,0.0,115.96808510638297,-1.0,0.0,105.2872340425532,-1.0,0.0,105.03404255319148,-1.0
