,SARSA_Rewards1,SARSA_noSteps1,SARSA_Accuracy1,SARSA_Rewards2,SARSA_noSteps2,SARSA_Accuracy2,SARSA_Rewards3,SARSA_noSteps3,SARSA_Accuracy3,SARSA_Rewards4,SARSA_noSteps4,SARSA_Accuracy4,SARSA_Rewards5,SARSA_noSteps5,SARSA_Accuracy5,Moving_Average_Accuracy1,Moving_Average_Step1,Moving_Average_Reward1,Moving_Average_Accuracy2,Moving_Average_Step2,Moving_Average_Reward2,Moving_Average_Accuracy3,Moving_Average_Step3,Moving_Average_Reward3,Moving_Average_Accuracy4,Moving_Average_Step4,Moving_Average_Reward4,Moving_Average_Accuracy5,Moving_Average_Step5,Moving_Average_Reward5,Overall_Accuracy,Overall_Steps,Overall_Reward
6829,1,5,1,1,5,1,1,5,1,1,5,1,1,7,1,0.93,5.55,0.86,0.89,5.91,0.78,0.9,5.53,0.8,0.76,10.22,0.52,0.89,6.39,0.78,0.874,6.720000000000001,0.748
6830,1,5,1,1,8,1,1,7,1,1,5,1,1,5,1,0.93,5.55,0.86,0.89,5.94,0.78,0.9,5.53,0.8,0.76,10.22,0.52,0.89,6.37,0.78,0.874,6.7219999999999995,0.748
6831,1,5,1,1,6,1,1,6,1,1,5,1,1,5,1,0.93,5.55,0.86,0.89,5.94,0.78,0.9,5.52,0.8,0.76,10.22,0.52,0.89,6.37,0.78,0.874,6.719999999999999,0.748
6832,1,7,1,1,5,1,1,5,1,1,5,1,1,7,1,0.93,5.57,0.86,0.89,5.94,0.78,0.9,5.52,0.8,0.76,10.22,0.52,0.89,6.39,0.78,0.874,6.728,0.748
6833,1,5,1,1,5,1,1,5,1,1,5,1,1,5,1,0.93,5.56,0.86,0.89,5.94,0.78,0.9,5.5,0.8,0.76,10.22,0.52,0.89,6.39,0.78,0.874,6.7219999999999995,0.748
6834,1,5,1,1,9,1,1,8,1,1,5,1,1,5,1,0.93,5.55,0.86,0.89,5.94,0.78,0.9,5.51,0.8,0.76,10.22,0.52,0.9,6.41,0.8,0.8760000000000001,6.725999999999999,0.7520000000000001
6835,1,7,1,1,7,1,1,5,1,1,5,1,1,5,1,0.93,5.57,0.86,0.89,5.96,0.78,0.9,5.51,0.8,0.76,10.2,0.52,0.9,6.41,0.8,0.8760000000000001,6.7299999999999995,0.7520000000000001
6836,1,5,1,1,6,1,1,5,1,1,8,1,1,5,1,0.93,5.57,0.86,0.9,5.99,0.8,0.91,5.53,0.82,0.76,10.23,0.52,0.9,6.4,0.8,0.8800000000000001,6.744,0.76
6837,1,5,1,1,5,1,1,11,1,1,5,1,1,5,1,0.93,5.57,0.86,0.9,5.99,0.8,0.91,5.59,0.82,0.76,10.23,0.52,0.9,6.4,0.8,0.8800000000000001,6.756,0.76
6838,-1,1,0,-1,3,0,1,5,1,-1,3,0,1,5,1,0.92,5.53,0.84,0.89,5.96,0.78,0.91,5.59,0.82,0.75,10.21,0.5,0.9,6.4,0.8,0.874,6.7379999999999995,0.748
6839,1,5,1,-1,1,0,1,5,1,1,5,1,1,5,1,0.92,5.51,0.84,0.88,5.92,0.76,0.91,5.57,0.82,0.75,10.19,0.5,0.9,6.38,0.8,0.8720000000000001,6.714,0.744
6840,1,9,1,1,8,1,1,5,1,1,5,1,1,6,1,0.92,5.53,0.84,0.88,5.95,0.76,0.91,5.5,0.82,0.75,10.19,0.5,0.9,6.39,0.8,0.8720000000000001,6.712000000000001,0.744
6841,-1,2,0,1,8,1,1,5,1,1,5,1,1,7,1,0.91,5.5,0.82,0.88,5.98,0.76,0.91,5.5,0.82,0.75,10.19,0.5,0.9,6.39,0.8,0.8700000000000001,6.712000000000001,0.74
6842,1,5,1,1,5,1,1,5,1,1,5,1,1,5,1,0.91,5.5,0.82,0.88,5.95,0.76,0.91,5.48,0.82,0.76,10.2,0.52,0.9,6.39,0.8,0.8720000000000001,6.703999999999999,0.744
6843,1,5,1,1,5,1,-1,6,0,1,5,1,1,7,1,0.91,5.48,0.82,0.88,5.95,0.76,0.9,5.49,0.8,0.76,10.17,0.52,0.9,6.41,0.8,0.8700000000000001,6.7,0.74
6844,1,5,1,1,7,1,1,5,1,1,5,1,1,9,1,0.91,5.46,0.82,0.88,5.97,0.76,0.9,5.49,0.8,0.76,10.17,0.52,0.9,6.41,0.8,0.8700000000000001,6.7,0.74
6845,1,5,1,1,5,1,1,5,1,1,5,1,1,7,1,0.91,5.46,0.82,0.88,5.95,0.76,0.91,5.5,0.82,0.76,10.17,0.52,0.9,6.42,0.8,0.8720000000000001,6.7,0.744
6846,1,5,1,1,5,1,1,6,1,1,5,1,1,5,1,0.91,5.45,0.82,0.89,5.99,0.78,0.92,5.52,0.84,0.76,10.15,0.52,0.91,6.44,0.82,0.8780000000000001,6.709999999999999,0.756
6847,1,7,1,1,6,1,1,9,1,1,7,1,1,5,1,0.91,5.47,0.82,0.89,5.99,0.78,0.92,5.56,0.84,0.76,10.17,0.52,0.91,6.44,0.82,0.8780000000000001,6.725999999999999,0.756
6848,1,5,1,1,7,1,1,5,1,1,5,1,1,5,1,0.91,5.45,0.82,0.89,6.01,0.78,0.93,5.6,0.86,0.76,10.17,0.52,0.91,6.44,0.82,0.8800000000000001,6.734,0.76
6849,1,5,1,1,5,1,1,6,1,1,5,1,1,5,1,0.91,5.45,0.82,0.89,6.01,0.78,0.93,5.61,0.86,0.76,10.17,0.52,0.91,6.44,0.82,0.8800000000000001,6.736,0.76
6850,1,5,1,1,5,1,-1,3,0,1,6,1,1,5,1,0.91,5.45,0.82,0.89,6.01,0.78,0.92,5.59,0.84,0.76,10.18,0.52,0.91,6.42,0.82,0.8780000000000001,6.7299999999999995,0.756
6851,1,5,1,1,5,1,1,5,1,1,5,1,1,5,1,0.91,5.44,0.82,0.9,6.01,0.8,0.92,5.59,0.84,0.76,10.18,0.52,0.91,6.42,0.82,0.8800000000000001,6.728,0.76
6852,1,7,1,1,5,1,1,5,1,1,5,1,1,5,1,0.91,5.46,0.82,0.9,6.01,0.8,0.92,5.55,0.84,0.76,10.18,0.52,0.91,6.42,0.82,0.8800000000000001,6.723999999999999,0.76
6853,1,5,1,1,5,1,1,5,1,-1,3,0,1,5,1,0.91,5.44,0.82,0.9,6.01,0.8,0.92,5.55,0.84,0.75,10.16,0.5,0.91,6.41,0.82,0.8779999999999999,6.714,0.756
6854,1,7,1,1,5,1,1,5,1,1,5,1,1,5,1,0.91,5.43,0.82,0.9,6.01,0.8,0.92,5.55,0.84,0.75,10.14,0.5,0.91,6.4,0.82,0.8779999999999999,6.706,0.756
6855,-1,2,0,-1,5,0,1,5,1,1,5,1,1,5,1,0.91,5.38,0.82,0.89,6.01,0.78,0.93,5.57,0.86,0.75,10.14,0.5,0.91,6.4,0.82,0.8779999999999999,6.7,0.756
6856,1,10,1,1,6,1,1,5,1,-1,5,0,1,9,1,0.91,5.43,0.82,0.89,6.0,0.78,0.93,5.53,0.86,0.75,10.15,0.5,0.91,6.44,0.82,0.8779999999999999,6.709999999999999,0.756
6857,1,5,1,1,5,1,1,6,1,1,5,1,1,5,1,0.91,5.43,0.82,0.89,6.0,0.78,0.93,5.51,0.86,0.75,10.15,0.5,0.91,6.44,0.82,0.8779999999999999,6.705999999999999,0.756
