,QL with Constant Epsilon Overall_Accuracy,QL with Constant Epsilon Overall_Steps,QL with Constant Epsilon Overall_Reward
481,0.85,5.03,0.7
482,0.86,5.06,0.72
483,0.86,5.08,0.72
484,0.85,5.07,0.7
485,0.85,5.07,0.7
486,0.86,5.08,0.72
487,0.85,5.06,0.7
488,0.85,5.06,0.7
489,0.85,5.04,0.7
490,0.86,5.09,0.72
491,0.87,5.13,0.74
492,0.87,5.14,0.74
493,0.88,5.18,0.76
494,0.88,5.19,0.76
495,0.88,5.2,0.76
496,0.89,5.19,0.78
497,0.89,5.18,0.78
498,0.89,5.16,0.78
499,0.89,5.16,0.78
500,0.89,5.14,0.78
501,0.89,5.14,0.78
502,0.89,5.1,0.78
503,0.89,5.1,0.78
504,0.89,5.1,0.78
505,0.89,5.1,0.78
506,0.89,5.1,0.78
507,0.89,5.09,0.78
508,0.89,5.09,0.78
509,0.89,5.09,0.78
510,0.89,5.07,0.78
511,0.89,5.09,0.78
512,0.89,5.09,0.78
513,0.89,5.09,0.78
514,0.89,5.08,0.78
515,0.89,5.08,0.78
516,0.89,5.06,0.78
517,0.88,5.03,0.76
518,0.87,5,0.74
519,0.88,5.03,0.76
520,0.88,5.03,0.76
521,0.88,5.03,0.76
522,0.88,5.02,0.76
523,0.88,5.02,0.76
524,0.87,5.01,0.74
525,0.87,5.01,0.74
526,0.88,5.04,0.76
527,0.88,5.04,0.76
528,0.88,5.04,0.76
529,0.88,5.04,0.76
530,0.88,5.04,0.76
531,0.88,5.04,0.76
532,0.88,5.05,0.76
533,0.88,5.05,0.76
534,0.88,5.05,0.76
535,0.87,5.04,0.74
536,0.87,5.04,0.74
537,0.87,5.03,0.74
538,0.87,5.04,0.74
539,0.87,5,0.74
540,0.87,5,0.74
541,0.88,5.03,0.76
542,0.88,5.01,0.76
543,0.88,5.01,0.76
544,0.87,4.98,0.74
545,0.87,4.96,0.74
546,0.87,4.96,0.74
547,0.87,4.95,0.74
548,0.87,4.95,0.74
549,0.87,4.95,0.74
550,0.87,4.95,0.74
551,0.87,4.95,0.74
552,0.88,4.95,0.76
553,0.89,4.98,0.78
554,0.89,4.99,0.78
555,0.89,4.99,0.78
556,0.9,5,0.8
557,0.89,4.96,0.78
558,0.89,4.96,0.78
559,0.89,4.94,0.78
560,0.88,4.92,0.76
561,0.87,4.88,0.74
562,0.87,4.86,0.74
563,0.88,4.93,0.76
564,0.88,4.93,0.76
565,0.88,4.93,0.76
566,0.88,4.94,0.76
567,0.88,4.93,0.76
568,0.88,4.93,0.76
569,0.88,4.9,0.76
570,0.88,4.9,0.76
571,0.87,4.86,0.74
572,0.87,4.86,0.74
573,0.87,4.85,0.74
574,0.87,4.85,0.74
575,0.87,4.85,0.74
576,0.88,4.86,0.76
577,0.88,4.86,0.76
578,0.88,4.88,0.76
579,0.88,4.9,0.76
580,0.88,4.9,0.76
581,0.88,4.9,0.76
582,0.88,4.9,0.76
583,0.87,4.87,0.74
584,0.88,4.88,0.76
585,0.88,4.88,0.76
586,0.88,4.88,0.76
587,0.89,4.9,0.78
588,0.89,4.9,0.78
589,0.89,4.9,0.78
590,0.89,4.95,0.78
591,0.88,4.91,0.76
592,0.88,4.9,0.76
593,0.88,4.9,0.76
594,0.88,4.89,0.76
595,0.88,4.88,0.76
596,0.87,4.85,0.74
597,0.87,4.85,0.74
598,0.87,4.85,0.74
599,0.87,4.87,0.74
600,0.87,4.87,0.74
601,0.87,4.87,0.74
602,0.87,4.88,0.74
603,0.87,4.88,0.74
604,0.87,4.88,0.74
605,0.87,4.88,0.74
606,0.87,4.88,0.74
607,0.87,4.88,0.74
608,0.87,4.88,0.74
609,0.87,4.88,0.74
610,0.87,4.88,0.74
611,0.87,4.86,0.74
612,0.87,4.86,0.74
613,0.87,4.86,0.74
614,0.86,4.82,0.72
615,0.86,4.82,0.72
616,0.86,4.82,0.72
617,0.87,4.86,0.74
618,0.88,4.89,0.76
619,0.88,4.9,0.76
620,0.88,4.9,0.76
621,0.88,4.9,0.76
622,0.88,4.9,0.76
623,0.88,4.91,0.76
624,0.89,4.92,0.78
625,0.89,4.92,0.78
626,0.89,4.93,0.78
627,0.89,4.93,0.78
628,0.89,4.94,0.78
629,0.89,4.94,0.78
630,0.89,4.95,0.78
631,0.89,4.95,0.78
632,0.89,4.94,0.78
633,0.89,4.93,0.78
634,0.88,4.92,0.76
635,0.89,4.93,0.78
636,0.88,4.92,0.76
637,0.88,4.92,0.76
638,0.88,4.92,0.76
639,0.88,4.94,0.76
640,0.88,4.96,0.76
641,0.88,4.99,0.76
642,0.88,5.01,0.76
643,0.88,5.02,0.76
644,0.89,5.05,0.78
645,0.89,5.05,0.78
646,0.89,5.05,0.78
647,0.9,5.09,0.8
648,0.9,5.09,0.8
649,0.9,5.09,0.8
650,0.9,5.11,0.8
651,0.9,5.11,0.8
652,0.89,5.08,0.78
653,0.89,5.08,0.78
654,0.89,5.07,0.78
655,0.88,5.05,0.76
656,0.88,5.05,0.76
657,0.89,5.09,0.78
658,0.89,5.09,0.78
659,0.89,5.09,0.78
660,0.9,5.11,0.8
661,0.91,5.15,0.82
662,0.91,5.15,0.82
663,0.91,5.11,0.82
664,0.91,5.11,0.82
665,0.9,5.08,0.8
666,0.9,5.07,0.8
667,0.9,5.07,0.8
668,0.9,5.07,0.8
669,0.9,5.06,0.8
670,0.89,5.05,0.78
671,0.9,5.09,0.8
672,0.9,5.1,0.8
673,0.9,5.1,0.8
674,0.9,5.11,0.8
675,0.9,5.11,0.8
676,0.9,5.12,0.8
677,0.9,5.13,0.8
678,0.9,5.11,0.8
679,0.9,5.1,0.8
680,0.9,5.12,0.8
681,0.9,5.12,0.8
682,0.9,5.12,0.8
683,0.91,5.15,0.82
684,0.91,5.16,0.82
685,0.91,5.16,0.82
686,0.9,5.15,0.8
687,0.9,5.2,0.8
688,0.89,5.16,0.78
689,0.89,5.16,0.78
690,0.89,5.1,0.78
691,0.9,5.14,0.8
692,0.9,5.14,0.8
693,0.9,5.14,0.8
694,0.9,5.14,0.8
695,0.9,5.14,0.8
696,0.91,5.17,0.82
697,0.91,5.19,0.82
698,0.91,5.19,0.82
699,0.91,5.17,0.82
700,0.91,5.18,0.82
701,0.91,5.18,0.82
702,0.91,5.17,0.82
703,0.91,5.17,0.82
704,0.91,5.17,0.82
705,0.91,5.17,0.82
706,0.91,5.17,0.82
707,0.91,5.17,0.82
708,0.9,5.14,0.8
709,0.89,5.11,0.78
710,0.89,5.11,0.78
711,0.89,5.11,0.78
712,0.89,5.14,0.78
713,0.89,5.14,0.78
714,0.9,5.19,0.8
715,0.9,5.2,0.8
716,0.9,5.2,0.8
717,0.9,5.19,0.8
718,0.9,5.2,0.8
719,0.89,5.16,0.78
720,0.89,5.18,0.78
721,0.89,5.18,0.78
722,0.89,5.18,0.78
723,0.89,5.17,0.78
724,0.89,5.22,0.78
725,0.89,5.23,0.78
726,0.89,5.22,0.78
727,0.89,5.22,0.78
728,0.89,5.21,0.78
729,0.89,5.23,0.78
730,0.89,5.22,0.78
731,0.89,5.22,0.78
732,0.89,5.22,0.78
733,0.88,5.18,0.76
734,0.89,5.21,0.78
735,0.89,5.21,0.78
736,0.9,5.24,0.8
737,0.9,5.25,0.8
738,0.9,5.25,0.8
739,0.9,5.23,0.8
740,0.9,5.21,0.8
741,0.9,5.18,0.8
742,0.9,5.16,0.8
743,0.9,5.16,0.8
744,0.9,5.16,0.8
745,0.9,5.16,0.8
746,0.9,5.16,0.8
747,0.9,5.16,0.8
748,0.9,5.19,0.8
749,0.9,5.19,0.8
750,0.89,5.16,0.78
751,0.89,5.16,0.78
752,0.9,5.19,0.8
753,0.9,5.19,0.8
754,0.9,5.19,0.8
755,0.91,5.21,0.82
756,0.91,5.21,0.82
757,0.91,5.21,0.82
758,0.91,5.21,0.82
759,0.91,5.21,0.82
760,0.91,5.21,0.82
761,0.9,5.2,0.8
762,0.9,5.2,0.8
763,0.9,5.22,0.8
764,0.9,5.25,0.8
765,0.91,5.28,0.82
766,0.91,5.28,0.82
767,0.91,5.28,0.82
768,0.91,5.29,0.82
769,0.91,5.3,0.82
770,0.92,5.31,0.84
771,0.92,5.31,0.84
772,0.92,5.3,0.84
773,0.92,5.3,0.84
774,0.92,5.29,0.84
775,0.92,5.29,0.84
776,0.92,5.28,0.84
777,0.92,5.27,0.84
778,0.92,5.28,0.84
779,0.92,5.27,0.84
780,0.92,5.27,0.84
781,0.92,5.29,0.84
782,0.92,5.29,0.84
783,0.92,5.27,0.84
784,0.92,5.27,0.84
785,0.92,5.27,0.84
786,0.93,5.28,0.86
787,0.93,5.23,0.86
788,0.94,5.27,0.88
789,0.94,5.29,0.88
790,0.94,5.29,0.88
791,0.94,5.29,0.88
792,0.94,5.29,0.88
793,0.94,5.29,0.88
794,0.94,5.29,0.88
795,0.94,5.29,0.88
796,0.94,5.29,0.88
797,0.94,5.29,0.88
798,0.94,5.29,0.88
799,0.94,5.29,0.88
800,0.94,5.28,0.88
801,0.94,5.28,0.88
802,0.94,5.28,0.88
803,0.93,5.24,0.86
804,0.92,5.23,0.84
805,0.92,5.23,0.84
806,0.92,5.24,0.84
807,0.92,5.24,0.84
808,0.93,5.28,0.86
809,0.94,5.31,0.88
810,0.94,5.31,0.88
811,0.94,5.31,0.88
812,0.94,5.28,0.88
813,0.93,5.26,0.86
814,0.93,5.3,0.86
