,Q_Rewards1,Q_noSteps1,Q_Accuracy1,Moving_Average_Accuracy1,Moving_Average_Step1,Moving_Average_Reward1,Overall_Accuracy,Overall_Steps,Overall_Reward
1537,-1,20646,0,0.0,14795.61,-0.99,0.0,14795.61,-0.99
1538,-1,26752,0,0.0,14936.98,-0.99,0.0,14936.98,-0.99
1539,-1,6942,0,0.0,14962.44,-0.99,0.0,14962.44,-0.99
1540,-1,27321,0,0.0,15090.99,-0.99,0.0,15090.99,-0.99
1541,-1,17612,0,0.0,15239.05,-0.99,0.0,15239.05,-0.99
1542,-1,18295,0,0.0,15325.5,-0.99,0.0,15325.5,-0.99
1543,-1,14686,0,0.0,15403.73,-0.99,0.0,15403.73,-0.99
1544,-1,3268,0,0.0,15400.78,-0.99,0.0,15400.78,-0.99
1545,-1,12201,0,0.0,15508.01,-0.99,0.0,15508.01,-0.99
1546,-1,12376,0,0.0,15393.33,-0.99,0.0,15393.33,-0.99
1547,0,50000,0,0.0,15831.4,-0.98,0.0,15831.4,-0.98
1548,-1,38535,0,0.0,15716.75,-0.99,0.0,15716.75,-0.99
1549,-1,14512,0,0.0,15786.23,-0.99,0.0,15786.23,-0.99
1550,-1,14247,0,0.0,15817.31,-0.99,0.0,15817.31,-0.99
1551,-1,5019,0,0.0,15731.87,-0.99,0.0,15731.87,-0.99
1552,0,50000,0,0.0,15934.83,-0.98,0.0,15934.83,-0.98
1553,-1,20211,0,0.0,15898.62,-0.98,0.0,15898.62,-0.98
1554,-1,5890,0,0.0,15476.01,-0.98,0.0,15476.01,-0.98
1555,-1,25324,0,0.0,15629.96,-0.98,0.0,15629.96,-0.98
1556,-1,16056,0,0.0,15611.71,-0.98,0.0,15611.71,-0.98
1557,-1,14747,0,0.0,15379.91,-0.98,0.0,15379.91,-0.98
1558,-1,8168,0,0.0,15436.76,-0.98,0.0,15436.76,-0.98
1559,-1,5640,0,0.0,15415.49,-0.98,0.0,15415.49,-0.98
1560,-1,14884,0,0.0,15150.37,-0.98,0.0,15150.37,-0.98
1561,-1,6511,0,0.0,14826.35,-0.98,0.0,14826.35,-0.98
1562,-1,12586,0,0.0,14788.04,-0.98,0.0,14788.04,-0.98
1563,-1,5027,0,0.0,14543.24,-0.98,0.0,14543.24,-0.98
1564,-1,23635,0,0.0,14768.16,-0.98,0.0,14768.16,-0.98
1565,-1,21743,0,0.0,14962.4,-0.98,0.0,14962.4,-0.98
1566,-1,6165,0,0.0,14999.54,-0.98,0.0,14999.54,-0.98
1567,-1,20682,0,0.0,15042.4,-0.98,0.0,15042.4,-0.98
1568,-1,7348,0,0.0,15002.43,-0.98,0.0,15002.43,-0.98
1569,-1,16127,0,0.0,14857.63,-0.98,0.0,14857.63,-0.98
1570,-1,21542,0,0.0,15006.39,-0.98,0.0,15006.39,-0.98
1571,-1,28565,0,0.0,15265.91,-0.98,0.0,15265.91,-0.98
